照合結果,不一致内容,機器ID,機器名,機器表 台数,盤表 台数,台数差（盤表-機器表）,機器表 消費電力(kW),盤表 容量(kW),容量差(kW),図面番号
不一致,盤表に記載なし,PAC-7-3,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ,1,0,-1,0.02,,,
不一致,容量欠損,PAC-8,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ,1,1,0,(冷)13.7 / (暖)13.3 / (低温)12.5,13.7,,E-025
不一致,盤表に記載なし,PAC-8-1,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ,2,0,-2,0.1,,,
不一致,盤表に記載なし,PAC-8-2,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ,2,0,-2,0.15,,,
不一致,盤表に記載なし,PAC-8-3,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ,2,0,-2,0.02,,,
不一致,容量欠損,PAC-9,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / 店舗用(同時ﾂｲﾝ),1,1,0,(冷)2.4 / (暖)2.48 / (低温)5.25,5.25,,E-025
不一致,盤表に記載なし,PAC-9-1,空 調 機 空冷HPﾊﾟｯｹｰｼﾞ 店舗用(同時ﾂｲﾝ),2,0,-2,,,,
不一致,容量欠損,PAC-10,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ,1,1,0,(冷)10.6 / (暖)11.6 / (低温)10.8,11.6,,E-025
不一致,盤表に記載なし,PAC-10-1,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ,1,0,-1,0.1,,,
不一致,盤表に記載なし,PAC-10-2,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ,1,0,-1,0.03,,,
不一致,盤表に記載なし,PAC-10-3,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ,1,0,-1,0.03,,,
不一致,盤表に記載なし,PAC-10-4,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ,1,0,-1,0.06,,,
不一致,盤表に記載なし,PAC-10-5,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ,2,0,-2,0.03,,,
不一致,容量欠損,PAC-11,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ,1,1,0,(冷)13.7 / (暖)13.3 / (低温)12.5,13.7,,E-025
不一致,盤表に記載なし,PAC-11-1,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ,3,0,-3,0.06,,,
不一致,盤表に記載なし,PAC-11-2,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ,6,0,-6,0.03,,,
不一致,容量欠損,PAC-12,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ,1,1,0,(冷)10.6 / (暖)11.6 / (低温)10.8,11.6,,E-025
不一致,盤表に記載なし,PAC-12-1,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ,1,0,-1,0.06,,,
不一致,盤表に記載なし,PAC-12-2,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ,2,0,-2,0.03,,,
不一致,盤表に記載なし,PAC-12-3,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ,1,0,-1,0.06,,,
不一致,盤表に記載なし,PAC-12-4,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ,2,0,-2,0.03,,,
不一致,盤表に記載なし,PAC-12-5,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ,1,0,-1,0.07,,,
不一致,盤表に記載なし,PAC-12-6,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ,2,0,-2,0.03,,,
不一致,容量欠損,PAC-13,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ,1,1,0,(冷)7.42 / (暖)7.73 / (低温)8.6,8.6,,E-025
不一致,盤表に記載なし,PAC-13-1,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ,1,0,-1,0.07,,,
不一致,盤表に記載なし,PAC-13-2,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ,2,0,-2,0.03,,,
不一致,盤表に記載なし,PAC-13-3,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ,1,0,-1,0.05,,,
不一致,盤表に記載なし,PAC-13-4,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ,1,0,-1,0.03,,,
不一致,盤表に記載なし,PAC-13-5,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ,1,0,-1,0.05,,,
不一致,容量欠損,PAC-14,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ,1,1,0,(冷)5.11 / (暖)5.46 / (低温)6.3,8.6,,E-025
不一致,盤表に記載なし,PAC-14-1,空 調 機 1 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ,2,0,-2,0.05,,,
不一致,盤表に記載なし,PAC-14-2,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ,1,0,-1,0.05,,,
不一致,盤表に記載なし,PAC-14-3,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / ﾏﾙﾁﾀｲﾌﾟ,1,0,-1,0.05,,,
不一致,容量欠損,PAC-15,空 調 機 / 空冷HPﾊﾟｯｹｰｼﾞ / 店舗用(同時ﾂｲﾝ),1,1,0,(冷)6.1,9,,E-025
不一致,盤表に記載なし,PAC-15-1,空 調 機 店舗用(同時ﾂｲﾝ),,0,,,,,
不一致,盤表に記載なし,VR-1,レンジフード,86,0,-86,,,,
不一致,盤表に記載なし,BD-1,浴室換気乾燥機,9,0,-9,,,,
不一致,盤表に記載なし,HEX-1,全熱交換機,9,0,-9,,,,
不一致,盤表に記載なし,HEX-2,全熱交換機,27,0,-27,,,,
不一致,盤表に記載なし,VF-1,天井扇,10,0,-10,,,,
不一致,盤表に記載なし,ORC-1,ルームエアコン マルチタイプ,9,0,-9,,,,
不一致,盤表に記載なし,ORC-2,ルームエアコン マルチタイプ,6,0,-6,,,,
不一致,盤表に記載なし,ORC-3,マルチタイプ,5,0,-5,,,,
不一致,盤表に記載なし,ORC-4,ルームエアコン マルチタイプ,,0,,,,,
不一致,盤表に記載なし,ORC-5,ルームエアコン マルチタイプ,3,0,-3,,,,
不一致,盤表に記載なし,ORC-6,ルームエアコン,,0,,,,,
不一致,盤表に記載なし,ORC-7,マルチタイプ ルームエアコン,60,0,-60,,,,
不一致,盤表に記載なし,ORC-8,マルチタイプ ルームエアコン,12,0,-12,,,,
不一致,盤表に記載なし,ORC-9,ルームエアコン マルチタイプ,27,0,-27,,,,
不一致,盤表に記載なし,IRC-1,ルームエアコン,36,0,-36,,,,
不一致,盤表に記載なし,IRC-2,マルチタイプ ルームエアコン,96,0,-96,,,,
不一致,盤表に記載なし,IRC-3,ルームエアコン マルチタイプ,41,0,-41,,,,
不一致,盤表に記載なし,IRC-4,ルームエアコン マルチタイプ,11,0,-11,,,,
不一致,盤表に記載なし,IRC-5,ルームエアコン,5,0,-5,,,,
不一致,盤表に記載なし,IRC-6,マルチタイプ ルームエアコン,40,0,-40,,,,
不一致,盤表に記載なし,RC-1～3,欠 番,,0,,,,,
不一致,盤表に記載なし,RC-4,ルームエアコン,16,0,-16,,,,
不一致,盤表に記載なし,RC-5,ルームエアコン,1,0,-1,,,,
不一致,盤表に記載なし,RC-6,ルームエアコン,1,0,-1,,,,
不一致,盤表に記載なし,RC-7,ルームエアコン,14,0,-14,,,,
不一致,盤表に記載なし,RC-8,ルームエアコン 室外機2段積架台,22,0,-22,,,,
