機器番号,名称,系統,仕様,,,,,動力 (50Hz),,,,,,付属品・その他,台数,設置場所,,備考
,,,型式,番手 #(φ),機器風量 m3/h,静圧 Pa,騒音値 (dB),相 P-V,消費電力 (KW),始動方式,操作,監視,種別,,,階,部屋名,(参考型番)
F-B1-2,排 風 機,B1F ＦＲ・ガス緊急遮断弁室,ｽﾄﾚｰﾄｼﾛｯｺﾌｧﾝ（消音型）(DC),250φ,"1,200",200,42,1-100,0.285,LS,A,〇,〇,ﾀｲﾏｰSW(電気工事) / ｺﾞﾑ防振､他一式,1,B1F,ＦＲ・ガス緊急遮断弁室,BFS-120SUDC (三菱電機)
F-B1-3,排 風 機,B1F 汚泥引抜作業用局所排気(車路),ｽﾄﾚｰﾄｼﾛｯｺﾌｧﾝ（消音型）(DC),200φ,200,200,29.5,1-100,0.0625,LS,A,〇,〇,ﾀｲﾏｰSW(電気工事) / ｺﾞﾑ防振､他一式,1,B1F,FR・ガス緊急遮断弁室,BFS-50SUDC (三菱電機)
F-1-1,排 風 機,1F 給湯室,天井扇(低騒音型),150φ,200,180,44.5,1-100,0.078,LS,A,〇,〇,手元SW､ｺﾞﾑ防振､他一式,1,1F,給湯室,VD-23ZXP13 (三菱電機)
F-1-2,排 風 機,1F ＷＣ,天井扇(低騒音型),150φ,100,180,46,1-100,0.074,LS,A,〇,〇,手元SW､ｺﾞﾑ防振､他一式,2,1F,ＷＣ,VD-23ZB13 (三菱電機)
F-1-3,排 風 機,1F ペット,ｽﾄﾚｰﾄｼﾛｯｺﾌｧﾝ（消音型）(DC),200φ,150,200,29.5,1-100,0.0625,LS,A,〇,〇,ﾀｲﾏｰSW(電気工事) / ｺﾞﾑ防振､他一式,1,1F,ペット,BFS-50SUDC (三菱電機)
F-1-4,排 風 機,1F 給水ポンプ室,ｽﾄﾚｰﾄｼﾛｯｺﾌｧﾝ（消音型）(DC),200φ,50,200,29.5,1-100,0.0625,LS,A,〇,〇,ﾀｲﾏｰSW(電気工事) / ｺﾞﾑ防振､他一式,1,1F,給水ポンプ室,BFS-50SUDC (三菱電機)
F-2-1,排 風 機,2F ＨＷＣ,天井扇(低騒音型),150φ,200,180,44.5,1-100,0.078,LS,A,〇,〇,手元SW､ｺﾞﾑ防振､他一式,1,2F,ＨＷＣ,VD-23ZXP13 (三菱電機)
F-2-2,排 風 機,2F ＷＣ,ｽﾄﾚｰﾄｼﾛｯｺﾌｧﾝ（消音型）(DC),200φ,400,200,29.5,1-100,0.0832,LS,A,〇,〇,手元SW､ｺﾞﾑ防振､他一式,1,2F,ＷＣ,BFS-65SUDC (三菱電機)
F-11-1,排 風 機,11F ＷＣ,ｽﾄﾚｰﾄｼﾛｯｺﾌｧﾝ（消音型）(DC),200φ,150,180,29.5,1-100,0.0625,LS,A,〇,〇,手元SW､ｺﾞﾑ防振､他一式,1,11F,ＷＣ,BFS-50SUDC (三菱電機)
F-11-2,排 風 機,11F パーティールームキッチン,同時給排レンジフード(建築工事),150φ,420,180,-,1-100,0.2,LS,A,〇,〇,手元SW､ｺﾞﾑ防振､他一式 / ｺﾞﾑ防振､他一式,1,11F,パーティールームキッチン,
HEX-B2-1,全熱交換機,B2F 清掃員控室,天埋埋込ﾀﾞｸﾄ型,100φ / ｴﾝﾀﾙﾋﾟｰ交,100 / 換効率(強),150 / ：(冷)64,35.5 / .5% (暖),1-100 / 75.5%,0.075,LS,R,〇,〇,24hSW(電気へ支給) / ｺﾞﾑ防振､他一式,1,B2F,清掃員控室,LGH-N15RXW2 (三菱電機) / BOF･BEF-B2-1と連動
HEX-B1-1,全熱交換機,B1F ヴァレー控室,天埋埋込ﾀﾞｸﾄ型,100φ / ｴﾝﾀﾙﾋﾟｰ交,100 / 換効率(強),150 / ：(冷)64,35.5 / .5% (暖),1-100 / 75.5%,0.075,LS,R,〇,〇,24hSW(電気へ支給) / ｺﾞﾑ防振､他一式,1,B1F,ヴァレー控室,LGH-N15RXW2 (三菱電機) / BOF･BEF-B1-1と連動
HEX-B1-2,全熱交換機,B1F 待合室,天埋埋込ﾀﾞｸﾄ型,100φ / ｴﾝﾀﾙﾋﾟｰ交,100 / 換効率(強),150 / ：(冷)64,35.5 / .5% (暖),1-100 / 75.5%,0.075,LS,R,〇,〇,24hSW(電気へ支給) / ｺﾞﾑ防振､他一式,1,B1F,待合室,LGH-N15RXW2 (三菱電機) / BOF･BEF-B1-2と連動
HEX-1-1,全熱交換機,1F 中央管理室,天埋埋込ﾀﾞｸﾄ型,150φ / ｴﾝﾀﾙﾋﾟｰ交,200 / 換効率(強),230 / ：(冷)65,40 / .5% (暖),1-100 / 74.5%,0.145,LS,R,〇,〇,24hSW(電気へ支給) / ｺﾞﾑ防振､他一式,1,1F,中央管理室,LGH-N35RXW2 (三菱電機)
HEX-1-2,全熱交換機,1F ラウンジ,天埋埋込ﾀﾞｸﾄ型,250φ / ｴﾝﾀﾙﾋﾟｰ交,700 / 換効率(強),180 / ：(冷)65,50 / % (暖)75,1-100 / %,0.42,LS,R,〇,〇,24hSW(電気へ支給) / ｺﾞﾑ防振､他一式,2,1F,ラウンジ,LGH-N80RXV2 (三菱電機)
HEX-1-3,全熱交換機,1F エントランスホール,天埋埋込ﾀﾞｸﾄ型,250φ / ｴﾝﾀﾙﾋﾟｰ交,710 / 換効率(強),200 / ：(冷)65,50 / % (暖)75,1-100 / %,0.42,LS,R,〇,〇,24hSW(電気へ支給) / ｺﾞﾑ防振､他一式,1,1F,エントランスホール,LGH-N80RXV2 (三菱電機)
HEX-1-4,全熱交換機,1F コンシェルジュ,天埋埋込ﾀﾞｸﾄ型,100φ / ｴﾝﾀﾙﾋﾟｰ交,100 / 換効率(強),180 / ：(冷)64,35.5 / .5% (暖),1-100 / 75.5%,0.075,LS,R,〇,〇,24hSW(電気へ支給) / ｺﾞﾑ防振､他一式,1,1F,コンシェルジュ,LGH-N15RXW2 (三菱電機)
HEX-2-1,全熱交換機,2F エントランス(吹抜)X5-X6,天埋埋込ﾀﾞｸﾄ型,150φ / ｴﾝﾀﾙﾋﾟｰ交,300 / 換効率(強),180 / ：(冷)65,40 / .5% (暖),1-100 / 74.5%,0.145,LS,R,〇,〇,24hSW(電気へ支給) / ｺﾞﾑ防振､他一式,1,2F,ジム,LGH-N35RXW2 (三菱電機)
HEX-2-2,全熱交換機,2F ラウンジ,天埋埋込ﾀﾞｸﾄ型,200φ / ｴﾝﾀﾙﾋﾟｰ交,600 / 換効率(強),180 / ：(冷)63,50 / % (暖)72,1-100 / %,0.355,LS,R,〇,〇,24hSW(電気へ支給) / ｺﾞﾑ防振､他一式,1,2F,ラウンジ,LGH-N65RXW2 (三菱電機)
HEX-2-3,全熱交換機,2F コワーキングライブラリールーム,天埋埋込ﾀﾞｸﾄ型,150φ / ｴﾝﾀﾙﾋﾟｰ交,300 / 換効率(強),180 / ：(冷)65,40 / .5% (暖),1-100 / 74.5%,0.145,LS,R,〇,〇,24hSW(電気へ支給) / ｺﾞﾑ防振､他一式,1,2F,コワーキングライブラリールーム,LGH-N35RXW2 (三菱電機)
HEX-2-4,全熱交換機,2F ジム,天埋埋込ﾀﾞｸﾄ型,200φ / ｴﾝﾀﾙﾋﾟｰ交,500 / 換効率(強),180 / ：(冷)63,50 / % (暖)72,1-100 / %,0.355,LS,R,〇,〇,24hSW(電気へ支給) / ｺﾞﾑ防振､他一式,1,2F,ジム,LGH-N65RXW2 (三菱電機)
HEX-11-1,全熱交換機,11F パーティールーム,天埋埋込ﾀﾞｸﾄ型,250φ / ｴﾝﾀﾙﾋﾟｰ交,850 / 換効率(強),180 / ：(冷)65,52.5 / % (暖)75,1-100 / %,0.56,LS,R,〇,〇,24hSW(電気へ支給) / ｺﾞﾑ防振､他一式,1,11F,パーティールーム,LGH-N100RXV2 (三菱電機)
BOF-B2-1,ブースターファン,B2F 清掃員控室,ｽﾄﾚｰﾄｼﾛｯｺﾌｧﾝ（給気用消音型）,200φ,100,200,44,1-100,0.175,LS,A,〇,〇,ｺﾞﾑ防振、他一式,1,B2F,清掃員控室,BFS-80SSUA2 (三菱電機) / HEX-B2-1と連動
BOF-B1-1,ブースターファン,B1F ヴァレー控室,ｽﾄﾚｰﾄｼﾛｯｺﾌｧﾝ（給気用消音型）,200φ,100,200,44,1-100,0.175,LS,A,〇,〇,ｺﾞﾑ防振、他一式,1,B1F,ヴァレー控室,BFS-80SSUA2 (三菱電機) / HEX-B1-1と連動
BOF-B1-2,ブースターファン,B1F 待合室,ｽﾄﾚｰﾄｼﾛｯｺﾌｧﾝ（給気用消音型）,200φ,100,200,44,1-100,0.175,LS,A,〇,〇,ｺﾞﾑ防振、他一式,1,B1F,待合室,BFS-80SSUA2 (三菱電機) / HEX-B1-2と連動
BEF-B2-1,ブースターファン,B2F 清掃員控室,ｽﾄﾚｰﾄｼﾛｯｺﾌｧﾝ（消音型）(DC),200φ,100,200,29.5,1-100,0.0625,LS,A,〇,〇,ｺﾞﾑ防振、他一式,1,B2F,清掃員控室,BFS-50SUDC (三菱電機) / HEX-B2-1と連動
BEF-B1-1,ブースターファン,B1F ヴァレー控室,ｽﾄﾚｰﾄｼﾛｯｺﾌｧﾝ（消音型）(DC),200φ,100,200,29.5,1-100,0.0625,LS,A,〇,〇,ｺﾞﾑ防振、他一式,1,B1F,ヴァレー控室,BFS-50SUDC (三菱電機) / HEX-B1-1と連動
BEF-B1-2,ブースターファン,B1F 待合室,ｽﾄﾚｰﾄｼﾛｯｺﾌｧﾝ（消音型）(DC),200φ,100,200,29.5,1-100,0.0625,LS,A,〇,〇,ｺﾞﾑ防振、他一式,1,B1F,待合室,BFS-50SUDC (三菱電機) / HEX-B1-2と連動
DF-R-1,臭突ファン,ﾋﾟｯﾄ ﾃﾞｨｽﾎﾟｰｻﾞ処理槽,樹脂製ﾌｧﾝ （屋外床置型）,"N0,1.5",150,500,72,3-200,0.4,LS,A,○,●,ﾀｲﾏｰSW(電気工事) / ｽﾌﾟﾘﾝｸﾞ防振架台、他一式,1,PHF,屋上,KLF-NO.1.5 （テラル）
SMF-1,排 煙 機,1-16F 附室排煙,排煙用ｼﾛｯｺﾌｧﾝ （高圧用） / （屋外床置型）,#4,"16,000",800,,3-200,7.5,LS,A,○,△,制御盤、ｽﾌﾟﾘﾝｸﾞ防振架台 / 他一式,1,PHF,屋上,4SRP3H （エバラ）
SMF-2,排 煙 機,B1F 地下駐車場,排煙用ｼﾛｯｺﾌｧﾝ （高圧用） / （床置型）,#3,"9,400",500,,3-200,5.5,LS,A,○,△,制御盤、ｽﾌﾟﾘﾝｸﾞ防振架台 / 他一式,1,1F,FR,3SRMH （エバラ）
CAV-3～6-1,定風量装置,2-8F ゴミ庫給気系統,低騒音電子式,200φ,-,-,-,AC24V,10VA,,,,,ｺﾞﾑ防振、他一式,4,3-6F,共用廊下,CAV-MW
CAV-7-1,(OA),,風量設定範囲：110-1130m3/H,,,,,,,,,,,,1,7F,共用廊下,(三協ｴｱﾃｯｸ)
CAV-8-1,,,最大風量設定：270m3/H / 圧損： 10Pa,,,,,,,,,,,,1,8F,共用廊下,
CAV-2-1,定風量装置,9-16F ゴミ庫給気系統,低騒音電子式,150φ,-,-,-,AC24V,10VA,,,,,ｺﾞﾑ防振、他一式,1,2F,共用廊下,CAV-MW
CAV-9-1,(OA),,風量設定範囲：70-630m3/H,,,,,,,,,,,,1,9F,共用廊下,(三協ｴｱﾃｯｸ)
CAV-10-1,,,最大風量設定：180m3/H,,,,,,,,,,,,1,10F,共用廊下,
CAV-11～15-1,,,圧損： 10Pa,,,,,,,,,,,,5,11-15F,共用廊下,
